LocationID	PostalCode	City	StateID	StateProvince	RegionID	Region	CustomerID
10025	60101	Addison	2155	Illinois	54	Central	2
10026	98221	Anacortes	2156	Washington	55	West	3
10027	98221	Anacortes	2157	Washington	56	West	3
10028	98221	Anacortes	2158	Washington	57	West	3
10029	98221	Anacortes	2159	Washington	58	West	3
10030	98221	Anacortes	2160	Washington	59	West	3
10031	98221	Anacortes	2161	Washington	60	West	3
10032	91776	San Gabriel	2162	California	61	West	5
10033	91776	San Gabriel	2163	California	62	West	5
10034	95123	San Jose	2164	California	63	West	6
10035	95123	San Jose	2165	California	64	West	6
10036	95123	San Jose	2166	California	65	West	6
10037	95123	San Jose	2167	California	66	West	6
10038	2724	Fall River	2168	Massachusetts	67	East	7
10039	3110	Bedford	2169	New Hampshire	68	East	8
10040	8101	Camden	2170	New Jersey	69	East	9
10041	8109	Pennsauken	2171	New Jersey	70	East	10
10042	2907	Cranston	2172	Rhode Island	71	East	12
10043	55372	Prior Lake	2173	Minnesota	72	Central	14
10044	55372	Prior Lake	2174	Minnesota	73	Central	14
10045	7203	Roselle	2175	New Jersey	74	East	11
10046	55372	Prior Lake	2176	Minnesota	75	Central	14
10047	55372	Prior Lake	2177	Minnesota	76	Central	14
10048	55372	Prior Lake	2178	Minnesota	77	Central	14
10049	11787	Smithtown	2179	New York	78	East	15
10050	11787	Smithtown	2180	New York	79	East	15
10051	11787	Smithtown	2181	New York	80	East	15
10052	11787	Smithtown	2182	New York	81	East	15
10053	11787	Smithtown	2183	New York	82	East	15
10054	11787	Smithtown	2184	New York	83	East	15
10055	13210	Syracuse	2185	New York	84	East	16
10056	13210	Syracuse	2186	New York	85	East	16
10057	13210	Syracuse	2187	New York	86	East	16
10058	59405	Great Falls	2188	Montana	87	West	17
10059	59405	Great Falls	2189	Montana	88	West	17
10060	59601	Helena	2190	Montana	89	West	18
10061	59601	Helena	2191	Montana	90	West	18
10062	92653	Laguna Hills	2192	California	91	West	23
